序号,学校,类别,地址,邮编,电话
165,上海市浦东新区东方德尚幼儿园,公办幼儿园,高木桥路655号,201210,50497985
166,上海市浦东新区潮和幼儿园,公办幼儿园,潮河路113号,201308,20911002
167,上海市浦东新区滴水湖幼儿园,公办幼儿园,临港新城古棕路255号,201306,20903530
168,上海市浦东新区绣川幼儿园,公办幼儿园,华夏二路1418号,201200,68651056
169,上海市浦东新区海阳之星幼儿园,公办幼儿园,海阳路450弄1号,200123,38760866
170,上海市浦东新区东方锦绣幼儿园,公办幼儿园,华春路180号,200125,50123568
171,上海市浦东新区永泰幼儿园,公办幼儿园,永泰路170号,200124,50272822
172,上海市浦东新区康桥第三幼儿园,公办幼儿园,康佳路80号,201315,38013066
173,上海市浦东新区康弘幼儿园,公办幼儿园,康弘路415号,201318,20925225
174,上海市浦东新区童心幼儿园,公办幼儿园,周浦镇瑞浦路631号,201318,68096183
175,上海市浦东新区鹏飞幼儿园,公办幼儿园,鹏飞路246号,201204,68661886
176,上海市浦东新区航瑞幼儿园,公办幼儿园,航头镇鹤涛路400号,201316,
177,上海市浦东新区尚东之星幼儿园,公办幼儿园,海阳路1311号,200126,50345751
178,上海市浦东新区鹤沙之星幼儿园,公办幼儿园,鹤驰路328号,201316,58148929
179,上海市浦东新区经纬幼儿园,公办幼儿园,鹤驰路142号,201316,20985536
180,上海新浦东新区海洲幼儿园,公办幼儿园,航头路988弄75号,201316,20930607*8033
181,上海市浦东新区懿德之爱幼儿园,公办幼儿园,懿航路767号,200124,68410803
182,东方城市幼儿园,公办幼儿园,东三里桥路780号,200125,50390667
183,上海市浦东新区南汇早期教育指导中心,公办幼儿园,惠南镇东门大街420弄6号,201300,58022211
184,解放军61398部队幼儿园,部队幼儿园,高桥大同路208号,200137,68660022
185,上海市浦东新区民办世纪星证大幼稚园,民办幼儿园,五莲路1818号,201206,68975958
186,上海市浦东新区民办世纪星双语实验幼稚园,民办幼儿园,博山东路169号,200135,58506698
187,上海民办胡姬港湾幼儿园,民办幼儿园,羽山路100弄13号,200135,51305140
188,上海市浦东新区民办维多利亚幼儿园,民办幼儿园,银宵路39弄38号,201204,38689780
189,上海市浦东新区民办大风车幼儿园,民办幼儿园,东绣路1260号,201204,50593180
190,上海市浦东新区民办小龙鱼环球幼儿园,民办幼儿园,环林东路807号,200126,50835132
